time_ns,iq_count,state,deinter_count,deinter_stb,deinter_erase,deinter_bits,conv_stb,conv_bit,descr_stb,descr_bit,bit_stb,bit,byte_stb,byte_count,byte
31755000,612,3,0,1,0,3f,0,0,0,0,0,0,0,0,00
31765000,612,3,1,1,0,07,0,0,0,0,0,0,0,0,00
31775000,613,3,2,1,0,07,0,0,0,0,0,0,0,0,00
31785000,613,3,3,1,0,3f,0,0,0,0,0,0,0,0,00
31795000,613,3,4,1,0,07,0,0,0,0,0,0,0,0,00
31805000,613,3,5,1,0,07,0,0,0,0,0,0,0,0,00
31815000,613,3,6,1,0,00,0,0,0,0,0,0,0,0,00
31825000,614,3,7,1,0,38,0,0,0,0,0,0,0,0,00
31835000,614,3,8,1,0,38,0,0,0,0,0,0,0,0,00
31845000,614,3,9,1,0,07,0,0,0,0,0,0,0,0,00
31855000,614,3,10,1,0,00,0,0,0,0,0,0,0,0,00
31865000,614,3,11,1,0,38,0,0,0,0,0,0,0,0,00
31875000,615,3,12,1,0,00,0,0,0,0,0,0,0,0,00
31885000,615,3,13,1,0,07,0,0,0,0,0,0,0,0,00
31895000,615,3,14,1,0,38,0,0,0,0,0,0,0,0,00
31905000,615,3,15,1,0,3f,0,0,0,0,0,0,0,0,00
31915000,615,3,16,1,0,00,0,0,0,0,0,0,0,0,00
31925000,616,3,17,1,0,3f,0,0,0,0,0,0,0,0,00
31935000,616,3,18,1,0,38,0,0,0,0,0,0,0,0,00
31945000,616,3,19,1,0,3f,0,0,0,0,0,0,0,0,00
31955000,616,3,20,1,0,3f,0,0,0,0,0,0,0,0,00
31965000,616,3,21,1,0,00,0,0,0,0,0,0,0,0,00
31975000,617,3,22,1,0,07,0,0,0,0,0,0,0,0,00
31985000,617,3,23,1,0,3f,0,0,0,0,0,0,0,0,00
32615000,629,3,24,0,0,00,1,1,0,0,0,0,0,0,00
32625000,630,3,24,0,0,00,1,1,0,0,1,1,0,0,00
32635000,630,3,24,0,0,00,1,0,0,0,1,1,0,0,00
32645000,630,3,24,0,0,00,1,1,0,0,1,0,0,0,00
32655000,630,3,24,0,0,00,1,0,0,0,1,1,0,0,00
32665000,630,3,24,0,0,00,1,1,0,0,1,0,0,0,00
32675000,631,3,24,0,0,00,1,1,0,0,1,1,0,0,00
32685000,631,3,24,0,0,00,1,0,0,0,1,1,0,0,00
32695000,631,3,24,0,0,00,1,1,1,0,1,0,0,0,00
32705000,631,3,24,0,0,00,1,1,1,0,1,1,1,0,6b
32715000,631,3,24,0,0,00,1,0,1,0,1,1,0,1,6b
32725000,632,3,24,0,0,00,1,0,1,0,1,0,0,1,6b
32735000,632,3,24,0,0,00,1,0,1,0,1,0,0,1,6b
32745000,632,3,24,0,0,00,1,0,1,0,1,0,0,1,6b
32755000,632,3,24,0,0,00,1,0,1,0,1,0,0,1,6b
32765000,632,3,24,0,0,00,1,0,1,0,1,0,0,1,6b
32775000,633,3,24,0,0,00,1,0,1,1,1,0,0,1,6b
32785000,633,3,24,0,0,00,1,1,1,1,1,0,1,1,03
32795000,633,3,24,0,0,00,1,0,1,1,1,1,0,2,03
32805000,633,3,24,0,0,00,1,0,1,0,1,0,0,2,03
32815000,633,3,24,0,0,00,1,0,1,1,1,0,0,2,03
32825000,634,3,24,0,0,00,1,0,1,1,1,0,0,2,03
32835000,634,3,24,0,0,00,1,0,1,0,1,0,0,2,03
32845000,634,3,24,0,0,00,1,0,1,1,1,0,0,2,03
32855000,634,3,24,0,0,00,1,0,1,0,1,0,0,2,03
32865000,634,3,24,0,0,00,1,0,1,1,1,0,1,2,02
32875000,635,3,24,0,0,00,1,0,1,0,1,0,0,3,02
32885000,635,4,24,0,0,00,1,0,1,0,1,0,0,0,02
35925000,696,6,0,1,0,00,0,0,0,0,0,0,0,0,00
35935000,696,6,1,1,0,00,0,0,0,0,0,0,0,0,00
35945000,696,6,2,1,0,3f,0,0,0,0,0,0,0,0,00
35955000,696,6,3,1,0,38,0,0,0,0,0,0,0,0,00
35965000,696,6,4,1,0,3f,0,0,0,0,0,0,0,0,00
35975000,697,6,5,1,0,3f,0,0,0,0,0,0,0,0,00
35985000,697,6,6,1,0,00,0,0,0,0,0,0,0,0,00
35995000,697,6,7,1,0,07,0,0,0,0,0,0,0,0,00
36005000,697,6,8,1,0,3f,0,0,0,0,0,0,0,0,00
36015000,697,6,9,1,0,00,0,0,0,0,0,0,0,0,00
36025000,698,6,10,1,0,00,0,0,0,0,0,0,0,0,00
36035000,698,6,11,1,0,3f,0,0,0,0,0,0,0,0,00
36045000,698,6,12,1,0,38,0,0,0,0,0,0,0,0,00
36055000,698,6,13,1,0,00,0,0,0,0,0,0,0,0,00
36065000,698,6,14,1,0,38,0,0,0,0,0,0,0,0,00
36075000,699,6,15,1,0,07,0,0,0,0,0,0,0,0,00
36085000,699,6,16,1,0,07,0,0,0,0,0,0,0,0,00
36095000,699,6,17,1,0,00,0,0,0,0,0,0,0,0,00
36105000,699,6,18,1,0,07,0,0,0,0,0,0,0,0,00
36115000,699,6,19,1,0,38,0,0,0,0,0,0,0,0,00
36125000,700,6,20,1,0,3f,0,0,0,0,0,0,0,0,00
36135000,700,6,21,1,0,00,0,0,0,0,0,0,0,0,00
36145000,700,6,22,1,0,00,0,0,0,0,0,0,0,0,00
36155000,700,6,23,1,0,00,0,0,0,0,0,0,0,0,00
39925000,776,6,24,1,0,3f,0,0,0,0,0,0,0,0,00
39935000,776,6,25,1,0,07,0,0,0,0,0,0,0,0,00
39945000,776,6,26,1,0,38,0,0,0,0,0,0,0,0,00
39955000,776,6,27,1,0,38,0,0,0,0,0,0,0,0,00
39965000,776,6,28,1,0,00,0,0,0,0,0,0,0,0,00
39975000,777,6,29,1,0,38,0,0,0,0,0,0,0,0,00
39985000,777,6,30,1,0,38,0,0,0,0,0,0,0,0,00
39995000,777,6,31,1,0,07,0,0,0,0,0,0,0,0,00
40005000,777,6,32,1,0,07,0,0,0,0,0,0,0,0,00
40015000,777,6,33,1,0,3f,0,0,0,0,0,0,0,0,00
40025000,778,6,34,1,0,3f,0,0,0,0,0,0,0,0,00
40035000,778,6,35,1,0,3f,0,0,0,0,0,0,0,0,00
40045000,778,6,36,1,0,3f,0,0,0,0,0,0,0,0,00
40055000,778,6,37,1,0,3f,0,0,0,0,0,0,0,0,00
