time_ns,iq_count,event,phy_state,rxi_state,rate,len,byte_count,byte,fc_di,addr1,addr2,addr3,block,block_valid,m_axis_data,m_axis_last,rxi_sig_valid,rxi_reg5,rxi_reg6,rxi_start,rxi_start_m_axis,rxi_monitor_words,rxi_axis_words
205000,0,rxi_state,0,0,00,0,0,00,00000000,000000000000,000000000000,000000000000,1,0,0000000000000000,0,0,00000000,00000000,0,0,0,16383
40885000,795,fc_di,6,0,0b,24,4,87,87006805,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
40895000,795,fc_di,6,0,0b,24,4,87,87006805,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
40905000,795,fc_di,6,0,0b,24,4,87,87006805,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
40915000,795,fc_di,6,0,0b,24,4,87,87006805,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
40925000,796,fc_di,6,0,0b,24,4,87,87006805,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
40935000,796,fc_di,6,0,0b,24,4,87,87006805,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
40945000,796,fc_di,6,0,0b,24,4,87,87006805,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
40955000,796,fc_di,6,0,0b,24,4,64,87006805,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,0,16383
49045000,958,phy_header,12,0,85,104,0,00,87006805,000000000064,000000000000,000000000000,0,0,0000000000000000,0,1,00000025,ffff0000,0,0,0,16383
49045000,958,rxi_sig,12,0,85,104,0,00,87006805,000000000064,000000000000,000000000000,0,0,0000000000000000,0,1,00000025,ffff0000,0,0,0,16383
49055000,958,rxi_state,12,1,85,104,0,00,00000000,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,15,14
49065000,958,rxi_state,12,2,85,104,0,00,00000000,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,15,14
49075000,959,rxi_state,12,3,85,104,0,00,00000000,000000000000,000000000000,000000000000,0,0,0000000000000000,0,0,00000025,ffff0000,0,0,15,14
52895000,1035,fc_di,12,3,85,104,4,2e,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
52905000,1035,fc_di,12,3,85,104,4,2e,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
52915000,1035,fc_di,12,3,85,104,4,2e,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
52925000,1036,fc_di,12,3,85,104,4,2e,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
52935000,1036,fc_di,12,3,85,104,4,2e,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
52945000,1036,fc_di,12,3,85,104,4,2e,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
52955000,1036,fc_di,12,3,85,104,4,2e,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
52965000,1036,fc_di,12,3,85,104,4,00,2e000204,000000000000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
53375000,1045,addr1,12,3,85,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
53385000,1045,addr1,12,3,85,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
53395000,1045,addr1,12,3,85,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
53405000,1045,addr1,12,3,85,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
53415000,1045,addr1,12,3,85,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
53425000,1046,addr1,12,3,85,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
53435000,1046,addr1,12,3,85,104,10,a6,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
53445000,1046,addr1,12,3,85,104,10,00,2e000204,a637cd086000,000000000000,000000000000,0,0,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
55875000,1095,filter,12,3,85,104,22,af,2e000204,a637cd086000,f13c01d62000,af3bad086000,0,1,0000000000000031,0,0,00000025,ffff0000,0,0,15,14
55885000,1095,rxi_state,12,4,85,104,22,af,2e000204,a637cd086000,f13c01d62000,af3bad086000,0,0,0000000000000031,0,0,00000025,ffff0000,1,1,15,14
66985000,1317,fcs,16,4,85,104,0,0f,2e000204,a637cd086000,f13c01d62000,af3bad086000,0,0,6165727420657720,0,0,00000025,ffff0000,0,0,15,14
67045000,1318,rxi_state,1,0,85,104,0,0f,2e000204,a637cd086000,f13c01d62000,af3bad086000,0,0,8105483500000000,0,0,00000025,ffff0000,0,0,15,14
